IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,43420,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:47.776-08:00,2026-01-04T08:13:47.923-08:00
6,fd00:2:fd00:1:fd00:1:fd00:1,58168,2a03:2880:f201:c4:face:b00c:0:43fe,443,10422,Instagram,com.instagram.android,TLS,Closed,,80,0,1,0,2026-01-04T08:13:48.283-08:00,2026-01-04T08:13:48.283-08:00
6,42.3.40.128,443,253.0.0.2,58168,10422,Instagram,com.instagram.android,TLS,Closed,,135,0,3,0,2026-01-04T08:13:48.315-08:00,2026-01-04T08:14:48.386-08:00
6,10.215.173.1,42770,157.240.3.63,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i.instagram.com,636,1626,6,5,2026-01-04T08:13:48.543-08:00,2026-01-04T08:13:48.629-08:00
6,10.215.173.1,53310,57.144.216.196,443,10422,Instagram,com.instagram.android,HTTPS,Closed,test-gateway.instagram.com,664,1759,6,6,2026-01-04T08:13:48.636-08:00,2026-01-04T08:13:48.723-08:00
6,10.215.173.1,43430,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:49.234-08:00,2026-01-04T08:13:49.398-08:00
17,10.215.173.1,22982,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,instagram.fcxh3-1.fna.fbcdn.net,77,105,1,1,2026-01-04T08:13:49.239-08:00,2026-01-04T08:13:49.265-08:00
17,10.215.173.1,13931,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,instagram.fcxh3-1.fna.fbcdn.net,77,93,1,1,2026-01-04T08:13:49.240-08:00,2026-01-04T08:13:49.266-08:00
17,10.215.173.1,63642,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,lookaside.facebook.com,68,131,1,1,2026-01-04T08:13:49.273-08:00,2026-01-04T08:13:49.325-08:00
17,10.215.173.1,25675,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,lookaside.facebook.com,68,119,1,1,2026-01-04T08:13:49.275-08:00,2026-01-04T08:13:49.297-08:00
6,10.215.173.1,43442,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:49.287-08:00,2026-01-04T08:13:49.432-08:00
6,10.215.173.1,43446,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:49.293-08:00,2026-01-04T08:13:49.419-08:00
6,10.215.173.1,49640,209.52.156.97,443,10422,Instagram,com.instagram.android,HTTPS,Closed,instagram.fcxh3-1.fna.fbcdn.net,470,1679,6,5,2026-01-04T08:13:49.438-08:00,2026-01-04T08:13:49.554-08:00
6,10.215.173.1,49648,209.52.156.97,443,10422,Instagram,com.instagram.android,HTTPS,Closed,instagram.fcxh3-1.fna.fbcdn.net,470,1679,6,5,2026-01-04T08:13:49.440-08:00,2026-01-04T08:13:49.761-08:00
6,10.215.173.1,49656,209.52.156.97,443,10422,Instagram,com.instagram.android,HTTPS,Closed,instagram.fcxh3-1.fna.fbcdn.net,470,1679,6,5,2026-01-04T08:13:49.442-08:00,2026-01-04T08:13:49.786-08:00
6,10.215.173.1,49662,209.52.156.97,443,10422,Instagram,com.instagram.android,HTTPS,Closed,instagram.fcxh3-1.fna.fbcdn.net,470,1679,6,5,2026-01-04T08:13:49.443-08:00,2026-01-04T08:13:49.787-08:00
6,10.215.173.1,49676,209.52.156.97,443,10422,Instagram,com.instagram.android,HTTPS,Closed,instagram.fcxh3-1.fna.fbcdn.net,470,1679,6,5,2026-01-04T08:13:49.445-08:00,2026-01-04T08:13:49.756-08:00
6,10.215.173.1,49678,209.52.156.97,443,10422,Instagram,com.instagram.android,HTTPS,Closed,instagram.fcxh3-1.fna.fbcdn.net,470,1679,6,5,2026-01-04T08:13:49.447-08:00,2026-01-04T08:13:49.783-08:00
6,10.215.173.1,48100,57.144.216.128,443,10422,Instagram,com.instagram.android,HTTPS,Closed,lookaside.facebook.com,461,1788,6,5,2026-01-04T08:13:49.471-08:00,2026-01-04T08:13:49.524-08:00
6,10.215.173.1,36376,57.144.216.196,443,10422,Instagram,com.instagram.android,HTTPS,Closed,test-gateway.instagram.com,704,1719,7,5,2026-01-04T08:13:49.539-08:00,2026-01-04T08:13:49.618-08:00
17,10.215.173.1,1160,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,test-gateway.instagram.com,72,123,1,1,2026-01-04T08:13:49.545-08:00,2026-01-04T08:13:49.562-08:00
17,10.215.173.1,56423,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,graph.instagram.com,65,122,1,1,2026-01-04T08:13:49.555-08:00,2026-01-04T08:13:49.570-08:00
17,10.215.173.1,54411,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,graph.instagram.com,65,110,1,1,2026-01-04T08:13:49.558-08:00,2026-01-04T08:13:49.583-08:00
6,10.215.173.1,33894,57.144.216.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,graph.instagram.com,458,1638,6,5,2026-01-04T08:13:49.757-08:00,2026-01-04T08:13:49.819-08:00
6,10.215.173.1,32942,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.695-08:00,2026-01-04T08:13:50.862-08:00
6,10.215.173.1,32954,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.786-08:00,2026-01-04T08:13:50.950-08:00
6,10.215.173.1,32962,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.801-08:00,2026-01-04T08:13:50.962-08:00
6,10.215.173.1,32978,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.804-08:00,2026-01-04T08:13:50.959-08:00
6,10.215.173.1,32990,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.805-08:00,2026-01-04T08:13:50.982-08:00
6,10.215.173.1,33000,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.809-08:00,2026-01-04T08:13:50.975-08:00
6,10.215.173.1,33014,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.832-08:00,2026-01-04T08:13:50.988-08:00
6,10.215.173.1,33026,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.833-08:00,2026-01-04T08:13:50.967-08:00
6,10.215.173.1,33040,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.835-08:00,2026-01-04T08:13:51.019-08:00
6,10.215.173.1,33054,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.862-08:00,2026-01-04T08:13:50.994-08:00
6,10.215.173.1,33066,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.864-08:00,2026-01-04T08:13:51.017-08:00
6,10.215.173.1,33082,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:50.866-08:00,2026-01-04T08:13:51.065-08:00
6,10.215.173.1,49684,209.52.156.97,443,10422,Instagram,com.instagram.android,HTTPS,Closed,instagram.fcxh3-1.fna.fbcdn.net,470,1679,6,5,2026-01-04T08:13:50.882-08:00,2026-01-04T08:13:50.927-08:00
6,10.215.173.1,33098,57.144.174.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i-fallback.instagram.com,463,1717,6,5,2026-01-04T08:13:52.296-08:00,2026-01-04T08:13:52.581-08:00
6,fd00:2:fd00:1:fd00:1:fd00:1,49486,2a03:2880:f357:c0:face:b00c:0:43fe,443,10422,Instagram,com.instagram.android,TLS,Closed,i-fallback.instagram.com,80,0,1,0,2026-01-04T08:13:52.449-08:00,2026-01-04T08:13:52.449-08:00
6,42.3.40.128,443,253.0.0.2,49486,10422,Instagram,com.instagram.android,TLS,Closed,,135,0,3,0,2026-01-04T08:13:52.556-08:00,2026-01-04T08:14:52.671-08:00
17,10.215.173.1,62666,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,i.instagram.com,61,118,1,1,2026-01-04T08:13:54.742-08:00,2026-01-04T08:13:54.907-08:00
17,10.215.173.1,29101,10.215.173.2,53,10422,Instagram,com.instagram.android,DNS,Closed,i.instagram.com,61,106,1,1,2026-01-04T08:13:54.747-08:00,2026-01-04T08:13:54.809-08:00
6,10.215.173.1,33908,57.144.216.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i.instagram.com,636,1626,6,5,2026-01-04T08:13:54.942-08:00,2026-01-04T08:13:54.992-08:00
6,10.215.173.1,33910,57.144.216.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i.instagram.com,636,1626,6,5,2026-01-04T08:13:55.133-08:00,2026-01-04T08:13:55.299-08:00
6,10.215.173.1,33926,57.144.216.192,443,10422,Instagram,com.instagram.android,HTTPS,Closed,i.instagram.com,636,1626,6,5,2026-01-04T08:13:55.136-08:00,2026-01-04T08:13:55.308-08:00
6,10.215.173.1,36380,57.144.216.196,443,10422,Instagram,com.instagram.android,HTTPS,Closed,test-gateway.instagram.com,704,1719,7,5,2026-01-04T08:13:56.743-08:00,2026-01-04T08:13:56.794-08:00
6,10.215.173.1,36384,57.144.216.196,443,10422,Instagram,com.instagram.android,HTTPS,Closed,test-gateway.instagram.com,704,1719,7,5,2026-01-04T08:13:57.410-08:00,2026-01-04T08:13:57.518-08:00
